id,name,location,cuisine,avg_cost_for_two,rating,budget_band
spicy-tandoor::banashankari,Spicy Tandoor,banashankari,north indian,150.0,,low
om-sri-vinayaka-chats::banashankari,Om Sri Vinayaka Chats,banashankari,"street food, fast food",500.0,,low
chill-out::banashankari,Chill Out,banashankari,"south indian, chinese",100.0,,low
me-and-my-cake::banashankari,Me And My Cake,banashankari,"bakery, desserts",500.0,,low
sunsadm::banashankari,Sunsadm,banashankari,south indian,400.0,,low
annapooraneshwari-mess::banashankari,Annapooraneshwari Mess,banashankari,south indian,200.0,,low
coffee-shopee::banashankari,Coffee Shopee,banashankari,beverages,250.0,,low
hari-super-sandwich::banashankari,Hari Super Sandwich,banashankari,"sandwich, pizza, beverages",200.0,,low
dharwad-line-bazaar-mishra-pedha::banashankari,Dharwad Line Bazaar Mishra Pedha,banashankari,mithai,150.0,,low
cake-bite::banashankari,Cake Bite,banashankari,bakery,300.0,,low
aarush-s-food-plaza::banashankari,Aarush's Food Plaza,banashankari,"north indian, street food",200.0,,low
wood-stove::banashankari,Wood Stove,banashankari,south indian,150.0,,low
kulfi-more::banashankari,Kulfi & More,banashankari,"ice cream, desserts, juices",150.0,,low
kannadigas-karavali::banashankari,Kannadigas Karavali,banashankari,"mangalorean, south indian, north indian",250.0,,low
soms-kitchen-bakes::banashankari,Soms Kitchen & Bakes,banashankari,"south indian, north indian, continental",400.0,,low
banashankari-nati-style::banashankari,Banashankari Nati Style,banashankari,"biryani, chinese, south indian, north indian",350.0,,low
mohitesh-hut-roll::banashankari,Mohitesh Hut Roll,banashankari,"rolls, north indian",150.0,,low
sri-basaveshwar-jolada-rotti-oota::banashankari,Sri Basaveshwar Jolada Rotti Oota,banashankari,south indian,150.0,,low
roll-magic-fast-food::banashankari,Roll Magic Fast Food,banashankari,"biryani, rolls, chinese",200.0,,low
foodlieious-multi-cuisine::banashankari,Foodlieious Multi Cuisine,banashankari,north indian,100.0,,low
thanishka-nati-and-karavali-style::banashankari,Thanishka Nati And Karavali Style,banashankari,"biryani, fast food",400.0,,low
swathi-cool-point::banashankari,Swathi Cool Point,banashankari,"beverages, juices",200.0,,low
kaumudis-juoice::banashankari,Kaumudis Juoice,banashankari,"beverages, fast food, juices",150.0,,low
amma---manae::banashankari,Amma - Manae,banashankari,south indian,400.0,,low
sri-sai-tiffannies::banashankari,Sri Sai Tiffannies,banashankari,"south indian, chinese",150.0,,low
hotel-andhra-speices::banashankari,Hotel Andhra Speices,banashankari,andhra,250.0,,low
sri-murari-family-restaurant::banashankari,Sri Murari Family Restaurant,banashankari,biryani,250.0,,low
aramane-donne-biriyani::banashankari,Aramane Donne Biriyani,banashankari,"south indian, biryani",150.0,,low
darkolates::banashankari,Darkolates,banashankari,desserts,200.0,,low
swaada-healthy-kitchen::banashankari,Swaada Healthy Kitchen,banashankari,"healthy food, juices, sandwich",350.0,,low
gawdaru-mane-beriyani::banashankari,Gawdaru Mane Beriyani,banashankari,"south indian, biryani",300.0,,low
melting-melodies::banashankari,Melting Melodies,banashankari,"pizza, fast food",100.0,,low
new-indraprasta::banashankari,New Indraprasta,banashankari,"south indian, beverages",150.0,,low
bitez::banashankari,Bitez,banashankari,fast food,100.0,,low
inchara-restaurant::basavanagudi,Inchara Restaurant,basavanagudi,"north indian, chinese",300.0,,low
sugar-stars-co::basavanagudi,Sugar Stars Co,basavanagudi,"bakery, desserts",300.0,,low
bombay-kulfis::jp-nagar,Bombay Kulfis,jp nagar,ice cream,200.0,,low
aahar-cafe::basavanagudi,Aahar Cafe,basavanagudi,south indian,100.0,,low
akash-gowdru-biryani-center::uttarahalli,Akash Gowdru Biryani Center,uttarahalli,"north indian, chinese",300.0,,low
new-sri-udupi-restaurant::jayanagar,New Sri Udupi Restaurant,jayanagar,"north indian, south indian, chinese, beverages, fast food",200.0,,low
hotel-biriyani-counter::vijay-nagar,Hotel Biriyani Counter,vijay nagar,"north indian, chinese, biryani",350.0,,low
ssv-upahar::jayanagar,SSV Upahar,jayanagar,"south indian, chinese",300.0,,low
south-cool-point::basavanagudi,South Cool Point,basavanagudi,beverages,100.0,,low
donne-biriyani-combos::kumaraswamy-layout,Donne Biriyani combos,kumaraswamy layout,biryani,400.0,,low
sree-sagar::banashankari,Sree Sagar,banashankari,south indian,200.0,,low
mr-parathewala::jayanagar,Mr. Parathewala,jayanagar,north indian,300.0,,low
7-hills-garden-restaurant::banashankari,7 Hills Garden Restaurant,banashankari,"north indian, mughlai, chinese",400.0,,low
sri-manjunatha-tandoori-corner::uttarahalli,Sri Manjunatha Tandoori Corner,uttarahalli,mughlai,300.0,,low
the-house-of-vadapav::banashankari,The House Of Vadapav,banashankari,nan,150.0,,low
cutcakes::kumaraswamy-layout,Cutcakes,kumaraswamy layout,bakery,300.0,,low
healthy-bakes-n-brew::jayanagar,Healthy Bakes 'n' Brew,jayanagar,bakery,150.0,,low
